ORD,2005/02,665,5269,13,19718
PDX,2005/02,43,703,9,3219
PHL,2005/02,315,2634,33,7304
PHX,2005/02,140,3414,21,9659
SAN,2005/02,58,1635,11,4839
SEA,2005/02,82,1359,14,6109
SFO,2005/02,129,2122,11,7065
SLC,2005/02,174,1947,9,10274
TPA,2005/02,31,1297,6,5098
ATL,2005/03,1207,9431,57,27111
BOS,2005/03,434,2773,29,8000
BWI,2005/03,115,1704,5,7377
CLT,2005/03,168,2162,3,8007
DCA,2005/03,279,2049,22,7044
DEN,2005/03,87,2062,6,10824
DFW,2005/03,184,3684,25,21289
DTW,2005/03,205,2273,18,9784
EWR,2005/03,377,4559,36,8440
FLL,2005/03,52,2931,14,3782
IAD,2005/03,126,1921,3,9199
IAH,2005/03,65,3270,41,15275
JFK,2005/03,172,2475,52,5887
LAS,2005/03,91,2835,6,11220
LAX,2005/03,188,3385,18,15916
LGA,2005/03,544,3865,54,6514
MCO,2005/03,59,3085,22,7422
MDW,2005/03,86,1323,6,5983
MIA,2005/03,36,1462,12,4269
MSP,2005/03,191,2319,36,9662
ORD,2005/03,584,6544,65,21592
PDX,2005/03,25,820,4,3663
PHL,2005/03,317,3316,23,7806
PHX,2005/03,106,2623,15,12061
SAN,2005/03,45,1324,4,5925
SEA,2005/03,87,1805,13,6686
SFO,2005/03,122,2148,6,8256
SLC,2005/03,165,2426,3,11521
TPA,2005/03,52,2232,14,5161
ATL,2005/04,934,5748,91,30108
BOS,2005/04,182,1848,7,8949
BWI,2005/04,56,1128,3,7720
CLT,2005/04,119,1486,15,8347
DCA,2005/04,123,1351,17,7378
DEN,2005/04,492,1476,41,10266
DFW,2005/04,295,3111,85,21301
DTW,2005/04,134,1684,5,10319
EWR,2005/04,180,3356,27,9366
FLL,2005/04,22,1396,6,4815
IAD,2005/04,149,1508,9,9331
IAH,2005/04,109,2218,45,15181
JFK,2005/04,96,2052,37,6239
LAS,2005/04,65,2110,7,11572
LAX,2005/04,146,2637,8,15926
LGA,2005/04,187,2582,19,7728
MCO,2005/04,32,1586,1,8430
MDW,2005/04,37,726,1,6720
MIA,2005/04,31,868,5,4470
MSP,2005/04,101,1418,3,9866
ORD,2005/04,389,3786,15,23444
PDX,2005/04,39,641,3,3676
PHL,2005/04,145,2322,17,8530
PHX,2005/04,78,2107
SAN,2005/04,39,1095,5,5952
SEA,2005/04,101,1314,8,6926
SFO,2005/04,101,1470,11,8628
SLC,2005/04,189,1546,4,11659
TPA,2005/04,45,1220,10,5829
ATL,2005/05,669,5813,126,31468
BOS,2005/05,120,2221,4,8789
BWI,2005/05,43,1158,3,8044
CLT,2005/05,120,1514,7,8664
DCA,2005/05,90,1220,3,7873
DEN,2005/05,115,2174,23,13899
DFW,2005/05,177,3187,47,22574
DTW,2005/05,96,1499,9,10490
EWR,2005/05,108,3234,17,9748
FLL,2005/05,19,1135,29,4678
IAD,2005/05,84,2020,15,9070
IAH,2005/05,111,2065,86,15910
JFK,2005/05,26,1573,5,7011
LAS,2005/05,63,2196,7,12059
LAX,2005/05,154,2821,14,16722
LGA,2005/05,133,2161,27,8593
MCO,2005/05,16,1481,12,8189
MDW,2005/05,40,888,8,7023
MIA,2005/05,29,967,35,4356
MSP,2005/05,76,1661,8,10152
ORD,2005/05,652,5195,55,22621
PDX,2005/05,32,1015,2,3592
PHL,2005/05,88,2053,10,9022
PHX,2005/05,103,1897,10,12872
